,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 3 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
0,,,Windpark Högel,SIM,Enercon,E101,10128976,SIM WP Högel (176339),ULFKOC,2018-11-23,Windpark Högel GmbH & Co. KG,Paul-Martin Andresen,WEA 1 von 2,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10128976_18 E101 SIM Windpark Högel Windpark Högel GmbH (Paul_Martin Andresen) ,,,176339
1,,,Windpark Högel,SIM,Enercon,E101,10128976,SIM WP Högel (176339),ULFKOC,2018-11-23,Windpark Högel GmbH & Co. KG,Paul-Martin Andresen,WEA 2 von 2,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10128976_18 E101 SIM Windpark Högel Windpark Högel GmbH (Paul_Martin Andresen) ,,,176339
2,,,WP Thüle,SEN,Enercon,E 101 E 92,10131349,SEN E92 E101 Thüle (177279),JOPRZ,2018-12-19,ENERCON GmbH,Joachim Schlote,WEA 1 von 3,1011464,,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10131349_18 E 101 E 92 SEN WP Thüle Enercon GmbH (Joachim Schlote) ,52.96833,7.97623,177279
3,,,WP Thüle,SEN,Enercon,E 101 E 92,10131349,SEN E92 E101 Thüle (177279),JOPRZ,2018-12-19,ENERCON GmbH,Joachim Schlote,WEA 2 von 3,,,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10131349_18 E 101 E 92 SEN WP Thüle Enercon GmbH (Joachim Schlote) ,,,177279
4,,,WP Thüle,SEN,Enercon,E 101 E 92,10131349,SEN E92 E101 Thüle (177279),JOPRZ,2018-12-19,ENERCON GmbH,Joachim Schlote,WEA 3 von 3,,,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10131349_18 E 101 E 92 SEN WP Thüle Enercon GmbH (Joachim Schlote) ,,,177279
5,,,Schuby,SIM,,,10155711,SIM Dethlefsen (181376),ULFKOC,2019-04-02,Norbert Detlefsen,Norbert Detlefsen,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10155711_2019  SIM Schuby Norbert Detlefsen (Norbert Detlefsen) ,,,181376
6,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 1 von 4,301575,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.609159969087,7.649952987042,174035
7,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 2 von 4,301576,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.612925,7.651475,174035
8,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 3 von 4,301577,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.610869,7.655083,174035
9,,,WP Grafeld,SEN SIM,Senvion,3.2M122 NES,10158656,SEN SIM WP Grafeld (174035),PHISCH,2018-11-15,GO Wind Projekt GmbH & Co.KG,Gerrit Dallmann,WEA 4 von 4,301578,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158656_2019 32M122 NES SEN SIM WP Grafeld GO Wind (Gerrit Dallmann) ,52.609719,7.659831,174035
10,,,WP Amöneburg,SEN,GE,GE 2.5MW,10158800,SEN GE 2.5 Amöneburg (182515),PHISCH,2019-05-27,CHORUS Wind Amöneburg GmbH & Co. KG,Jean-Maurice Bußhoff,WEA 1 von 1,28150062,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10158800_2019 GE 25MW SEN WP Amöneburg CHORUS Wind (Jean_Maurice Bußhoff) ,50.744717,8.898971,182515
11,,,Hemme,SEN,ENERCON,E-70,10161597,SEN WP Hemme (182757),ANNJO,2019-06-25,ENERCON GmbH,Paul Radons,WEA 1 von 2,784125,,Nein,Nein,Nein,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10161597_2019 E_70 SEN Hemme ENERCON (Paul Radons) ,54.269514,8.953031,182757
12,,,Hemme,SEN,ENERCON,E-70,10161597,SEN WP Hemme (182757),ANNJO,2019-06-25,ENERCON GmbH,Paul Radons,WEA 2 von 2,784301,,Nein,Nein,Nein,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10161597_2019 E_70 SEN Hemme ENERCON (Paul Radons) ,54.26501,8.95316,182757
13,,,WP Hemme,SEN,Enercon,E-82 E2,10165893,SEN E82 Hemme (187739),ANNJO,2019-08-01,ENERCON GmbH,Paul Radons,WEA 1 von 1,825702,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10165893_2019 E_82 E2 SEN WP Hemme Enercon GmbH (Paul Radons) ,,,187739
14,,,WP Hemme,SEN,Enercon,E-82 E2,10165893,SEN E82 Hemme (187739),ANNJO,2019-08-01,ENERCON GmbH,Paul Radons,WEA 1 von 1,825702,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10165893_2019 E_82 E2 SEN WP Hemme Enercon GmbH (Paul Radons) ,,,187739
15,,,WP Strübbel,SEN,Enercon,E-70,10169748,SEN E70 Strübbel (183228),ANNJO,2019-09-05,Hornskrug GmbH & Co. KG,Willi Paulsen,WEA 1 von 1,784302,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10169748_2019 E_70 SEN WP Strübbel Hornskrug GmbH und Co KG (Willi Paulsen) ,54.265506,8.958083,183228
16,,,Wieringerwierf NL,SET,Enercon,E-160 EP5 E1,10175590,SET E-160 Wieringerw (191528),JOPRZ,2019-11-08,ENERCON GmbH,Steve Schröder,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10175590_2019 E_160 EP5 E1 SET Wieringerwierf NL Enercon GmbH (Steve Schröder) ,52.818063,5.071106,191528
17,,,KFZ Werkstatt,SIP STB,,,10177961,SIP Werkst Claußen (192278),ULFKOC,2019-11-22,Bernd Claußen,Bernd Claußen,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10177961_2019  SIP STB KFZ Werkstatt Bernd Claußen (Bernd Claußen) ,,,192278
18,,,WP Hartenfelser Kopf,SEN,Schütz,VT 110,10189855,SEN Hartenfelser Kopf (194202),PHISCH,2020-01-24,Schütz GmbH & Co. KGaA,Jörg Klöckner,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10189855_2020 VT 110 SEN WP Hartenfelser Kopf Schütz GmbH (Jörg Klöckner) ,50.621797,7.764551,194202
19,,,Dieksanderkoog,SEN,Enercon,E-70 E4,10205374,SEN E-70 Dieksanderkoog 783989 (197371),ANNJO,2020-03-16,ENERCON GmbH,Paul Radons,WEA 1 von 1,783989,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10205374_2020 E_70 E4 SEN Dieksanderkoog Enercon GmbH (Paul Radons) ,53.959137,8.927004,197371
20,,,Dieksanderkoog,SEN,Enercon,E-70 E4,10205384,SEN E70 E4 Dieksanderkoog 783990 (197369),ANNJO,2020-03-16,ENERCON GmbH,Paul Radons,WEA 1 von 1,783990,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10205384_2020 E_70 E4 SEN Dieksanderkoog Enercon GmbH (Paul Radons) ,53.957307,8.927839,197369
21,,,Wittenhof,SIM,Vestas,V126,10206151,SIM Wittenhof ENER (194152),ULFKOC,2020-03-23,ENERTRAG SE,Jonas Armbröster,WEA 1 von 1,,,Unbekannt,Unbekannt,Ja,,,6.0,16.0,W,,,,"I_Messungen notwendig wegen hoher Vorbelastung, Telefonat mit T22 geführt",,,,Approved,file:///A:\___Projekte\10206151_2020 V126 SIM Wittenhof ENERTRAG Jonas Armröster (Jonas Armbröster) ,53.340331,13.898623,194152
22,,,_Marsberg_Ersatzstandort für Janneby,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380274,,,,,,,6.0,16.0,W,,,,,,,,Approved,,51.519506,8.824914,200062
23,,,_Suederhackstedt_Ersatzstandort fuer Janneby,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380456,,,,,,,6.0,16.0,W,,,,,,,,Approved,,54.58004,9.27255,200062
24,,,Hermannsort,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380722,,,,,,,7.0,17.0,W,,,,,,,,Approved,,54.532846,9.44244,200062
25,,,Hermannsort,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380725,,,,,,,7.0,17.0,W,,,,,,,,Approved,,54.535142,9.44605,200062
26,,,Janneby,SET,Enercon,E138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,WEA 1 von 1,1380324,,Unbekannt,Unbekannt,Unbekannt,,,4.0,14.0,W,,,,,,,,Approved,file:///A:\___Projekte\10212487_2020 E138 EP3 E2 SET Janneby Enercon GmbH (Fabian Martens) ,54.64249741882,9.3196514177803,200062
27,,,Janneby,SET,Enercon,E-115,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1160001,,,,,,,5.0,15.0,W,,,,,,,,Approved,,54.644701,9.317356,200062
28,,,WP Himmelreich,SEN,Enercon,E-115 EP 3,10244887,SEN Himmelreich (201223),ANNJO,2020-05-26,Windpark Himmelreich GmbH & Co. KG,Jan Heckens,WEA 2 von 3,1160008,,9.09129,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10244887_2020 E_115 EP 3 SEN WP Himmelreich WES Ibs (Jan Heckens) ,54.00597,9.09129,201223
29,,,WP Himmelreich,SEN,Enercon,E-115 EP 3,10244887,SEN Himmelreich (201223),ANNJO,2020-05-26,Windpark Himmelreich GmbH & Co. KG,Jan Heckens,WEA 3 von 3,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,"W, SW",,,,,,,,Approved,file:///A:\___Projekte\10244887_2020 E_115 EP 3 SEN WP Himmelreich WES Ibs (Jan Heckens) ,,,201223
30,,,WP Uetze,SEN,Siemens Gamesa,SWT 113,10250470,SEN SWT 113 WP Uetze (200775),JOPRZ,2020-07-01,REON Aktiengesellschaft,Florian Massante,WEA 1 von 3,3201101,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,"W, SW",,,,,,,,Approved,file:///A:\___Projekte\10250470_2020 SWT 113 SEN WP Uetze REON (Florian Massante) ,52.451269,10.156069,200775
31,,,WP Uetze,SEN,Siemens Gamesa,SWT 113,10250470,SEN SWT 113 WP Uetze (200775),JOPRZ,2020-07-01,REON Aktiengesellschaft,Florian Massante,WEA 2 von 3,3201100,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,"W, SW",,,,,,,,Approved,file:///A:\___Projekte\10250470_2020 SWT 113 SEN WP Uetze REON (Florian Massante) ,52.448022,10.159886,200775
32,,,WP Uetze,SEN,Siemens Gamesa,SWT 113,10250470,SEN SWT 113 WP Uetze (200775),JOPRZ,2020-07-01,REON Aktiengesellschaft,Florian Massante,WEA 3 von 3,3201102,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,"W, SW",,,,,,,,Approved,file:///A:\___Projekte\10250470_2020 SWT 113 SEN WP Uetze REON (Florian Massante) ,52.451425,10.163094,200775
33,,,Wilhelmshaven Westerhausen II,SEN,Vestas,V112,10253216,SEN V112 Wilhelmshaven V209248 (205848),JOPRZ,2019-11-04,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V209248,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10253216_2020 V112 SEN Wilhelmshaven Westerhausen II Vestas D (Helge Schnehle) ,53.60675833,8.041122222,205848
34,,,Friedewald,SET,Vestas,V117,10254971,SET 224648 Friedewald (206159),RICFRE,2020-09-09,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V224648,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10254971_2020 V117 SET Friedewald Vestas D (Helge Schnehle) ,,,206159
35,,,Bedesbach,SET,Vestas,V126,10263850,SET Bedesbach (207100),RICFRE,2020-10-13,Vestas Wind Systems A/S,NCN,WEA 1 von 1,V213228,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10263850_2020 V126 SET Bedesbach Vestas DK (NCN) ,,,207100
36,,,Bedesbach,SET,Vestas,V126,10263850,SET Bedesbach (207100),RICFRE,2020-10-13,Vestas Wind Systems A/S,NCN,WEA 1 von 1,229954,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10263850_2020 V126 SET Bedesbach Vestas DK (NCN) ,49.57765,7.475383,207100
37,,,WP Blye Dirkshof,SEN,Senvion,3.2M114,10264961,SEN WP Blye Dirkshof (207825),ULMR,2020-10-19,Infrastrukturgesellschaft Blye GmbH,Thorben Baudewig,WEA 1 von 3,300862,,Unbekannt,Unbekannt,Unbekannt,,,8.0,18.0,W,,,,,,,,Approved,file:///A:\___Projekte\10264961_2020 32M114 SEN WP Blye Dirkshof Infrastrukturges Blye GmbH (Thorben Baudewig) ,54.686337740972,9.1849021153168,207825
38,,,WP Blye Dirkshof,SEN,Senvion,3.2M114,10264961,SEN WP Blye Dirkshof (207825),ULMR,2020-10-19,Infrastrukturgesellschaft Blye GmbH,Thorben Baudewig,WEA 2 von 3,300863,,Unbekannt,Unbekannt,Unbekannt,,,8.0,18.0,W,,,,,,,,Approved,file:///A:\___Projekte\10264961_2020 32M114 SEN WP Blye Dirkshof Infrastrukturges Blye GmbH (Thorben Baudewig) ,54.689578162173,9.1815039470033,207825
39,,,WP Blye Dirkshof,SEN,Senvion,3.2M114,10264961,SEN WP Blye Dirkshof (207825),ULMR,2020-10-19,Infrastrukturgesellschaft Blye GmbH,Thorben Baudewig,WEA 3 von 3,300865,,Unbekannt,Unbekannt,Unbekannt,,,8.0,18.0,W,,,,,,,,Approved,file:///A:\___Projekte\10264961_2020 32M114 SEN WP Blye Dirkshof Infrastrukturges Blye GmbH (Thorben Baudewig) ,54.688681,9.174611,207825
40,,,WP Blye Dirkshof,SEN,Senvion,3.2M114,10264961,SEN WP Blye Dirkshof (207825),ULMR,2020-10-19,Infrastrukturgesellschaft Blye GmbH,Thorben Baudewig,WEA 3 von 4,300867,,Unbekannt,Unbekannt,Unbekannt,,,8.0,18.0,W,,,,,,,,Approved,file:///A:\___Projekte\10264961_2020 32M114 SEN WP Blye Dirkshof Infrastrukturges Blye GmbH (Thorben Baudewig) ,54.685206,9.173528,207825
41,,,WP Dauer III,SEN,GE,GE 3.6 137,10266326,SEN WP Dauer III (207627),ANNJO,2020-10-29,ENERTRAG SE,Jonas Armbröster,WEA 1 von 6,36195473,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10266326_2020 GE 36 137 SEN WP Dauer III ENERTRAG (Jonas Armbröster) ,53.387669,13.941399,207627
42,,,WP Dauer III,SEN,GE,GE 3.6 137,10266326,SEN WP Dauer III (207627),ANNJO,2020-10-29,ENERTRAG SE,Jonas Armbröster,WEA 2 von 6,36195474,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10266326_2020 GE 36 137 SEN WP Dauer III ENERTRAG (Jonas Armbröster) ,53.385801,13.937611,207627
43,,,WP Dauer III,SEN,GE,GE 3.6 137,10266326,SEN WP Dauer III (207627),ANNJO,2020-10-29,ENERTRAG SE,Jonas Armbröster,WEA 3 von 6,36195475,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10266326_2020 GE 36 137 SEN WP Dauer III ENERTRAG (Jonas Armbröster) ,53.385329,13.946148,207627
44,,,WP Dauer III,SEN,GE,GE 3.6 137,10266326,SEN WP Dauer III (207627),ANNJO,2020-10-29,ENERTRAG SE,Jonas Armbröster,WEA 4 von 6,36195476,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10266326_2020 GE 36 137 SEN WP Dauer III ENERTRAG (Jonas Armbröster) ,53.383721,13.933167,207627
45,,,WP Dauer III,SEN,GE,GE 3.6 137,10266326,SEN WP Dauer III (207627),ANNJO,2020-10-29,ENERTRAG SE,Jonas Armbröster,WEA 5 von 6,36195477,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10266326_2020 GE 36 137 SEN WP Dauer III ENERTRAG (Jonas Armbröster) ,53.381885,13.928838,207627
46,,,WP Dauer III,SEN,GE,GE 3.6 137,10266326,SEN WP Dauer III (207627),ANNJO,2020-10-29,ENERTRAG SE,Jonas Armbröster,WEA 6 von 6,36195478,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10266326_2020 GE 36 137 SEN WP Dauer III ENERTRAG (Jonas Armbröster) ,53.381806,13.938161,207627
47,,,WP Falkenhagen und Güstow,SEN,Enercon Nordex,E126 N149,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 2 von 8,E-126 EP3 ,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,53.345717,13.754303,209288
48,,,WP Falkenhagen und Güstow,SEN,Enercon Nordex,E126 N149,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 3 von 8,E-126 EP3,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,53.341119,13.757381,209288
49,,,WP Falkenhagen und Güstow,SEN,Enercon Nordex,E126 N149,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 4 von 8,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,,,209288
50,,,WP Falkenhagen und Güstow,SEN,Enercon Nordex,E126 N149,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 5 von 8,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,,,209288
51,,,WP Falkenhagen und Güstow,SEN,Enercon Nordex,E126 N149,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 6 von 8,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,,,209288
52,,,WP Falkenhagen und Güstow,SEN,Enercon Nordex,E126 N149,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 7 von 8,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,,,209288
53,,,WP Falkenhagen und Güstow,SEN,Enercon Nordex,E126 N149,10270195,SEN E126 Falkenhagen (209288),PHISCH,2020-12-07,Denker & Wulf AG,Jürgen Schwarz,WEA 8 von 8,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10270195_2020 E126 N149 SEN WP Falkenhagen und Güstow Denker und Wulf AG (Jürgen Schwarz) ,,,209288
54,,,WP Elchweiler,SEN,Vestas,V112,10284587,SEN WP Elchweiler (212221),JOPRZ,2021-02-11,Eurowind Energy A/S,Imke Odrich,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10284587_2021 V112 SEN WP Elchweiler Eurowind Energy (Imke Odrich) ,49.677888,7.180012,212221
55,,,WP KWK,SEN,Enercon,E70 E4,10284617,SEN E70 E4 783823 (212170),ANNJO,2021-02-11,ENERCON GmbH,Alexander Winter,WEA 1 von 1,783823,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10284617_2021 E70 E4 SEN WP KWK Enercon GmbH (Alexander Winter) ,53.95114,8.913023,212170
