,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 3 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
56,,,WP Mittelberg,SEN,Vestas,V112,10285125,SEN V112 WP Mittelberg (212561),PHISCH,2021-02-18,deag Energie GmbH & Co. 17 KG,Gisela Rauschen,WEA 1 von 1,V231218,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10285125_2021 V112 SEN WP Mittelberg deag Energie GmbH (Gisela Rauschen) ,51.56805,8.817701,212561
57,,,WP Norderland Ochtersum II,SEN,Enercon,E115,10286596,SEN E115 WP Norderland Ochtersum II (212800),PHISCH,2021-03-02,Windpark Norderland GmbH & Co. KG Ochtersum II,Christian Kubitschek,WEA 1 von 1,1150578,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10286596_2021 E115 SEN WP Norderland Ochtersum II Norderland GmbH (Christian Kubitschek) ,53.623737,,212800
58,,,WP Ochtersum III,SEN,Enercon,E115,10286597,SEN E115 WP Norderland Ochtersum III (212801),PHISCH,2021-03-02,Windpark Norderland GmbH & Co. KG Ochtersum III,Christian Kubitschek,WEA 1 von 1,1150580,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10286597_2021 E115 SEN WP Ochtersum III Norderland GbmH (Christian Kubitschek) ,53.618161,7.517534,212801
59,,,WP Ochtersum I,SEN,Enercon ,E115,10286599,SEN E115 WP Norderland Ochtersum I (212799),PHISCH,2021-03-02,Windpark Norderland GmbH & Co. KG Ochtersum I,Christian Kubitschek,WEA 1 von 1,1150587,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10286599_2021 E115 SEN WP Ochtersum I Norderland GmbH (Christian Kubitschek) ,53.619224,7.539623,212799
60,,,WP Blomberg Neuschloo I,SEN,Enercon,E115,10286603,SEN E 115 Norderland Neuschoo (212802),JOPRZ,2021-03-02,Windpark Norderland GmbH & Co. KG Blomberg/Neuschoo I,Christian Kubitschek,WEA 1 von 2,1150509,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10286603_2021 E115 SEN WP Blomberg Neuschloo I Norderland GmbH (Christian Kubitschek) ,53.553259,7.502683,212802
61,,,WP Blomberg Neuschloo I,SEN,Enercon,E115,10286603,SEN E 115 Norderland Neuschoo (212802),JOPRZ,2021-03-02,Windpark Norderland GmbH & Co. KG Blomberg/Neuschoo I,Christian Kubitschek,WEA 2 von 2,1150512,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10286603_2021 E115 SEN WP Blomberg Neuschloo I Norderland GmbH (Christian Kubitschek) ,53.551084,7.509142,212802
62,,,Hennstedt,SIM,,Kläranlage,10288059,SIM Kläranlage Hennstedt (213820),ULFKOC,2021-03-17,Wasserverband Norderdithmarschen,Michael Schoop,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10288059_2021 Kläranlage SIM Hennstedt WWV Norderdithmarschen (Michael Schoop) ,,,213820
63,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 1 von 8,55206472,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.917124,16.944878,210822
64,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 2 von 8,55206473,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.91328,16.951838,210822
65,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 3 von 8,55206453,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.918421,16.935281,210822
66,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 4 von 8,55206454,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.914331,16.941007,210822
67,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 5 von 8,55206455,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.912342,16.946148,210822
68,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 6 von 8,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.9084,16.95083,210822
69,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 7 von 8,55206448,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,47.905281,16.955734,210822
70,,,Mönchhof Linkamp AT,SEN SIM,GE,3.6,10289754,SEN GE Gols Mönchhof (210822),ARNJEN,2021-03-29,GE Renewable Austria GmbH,Philip Wichterich,WEA 8 von 8,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10289754_2021 36 SEN SIM Mönchhof Linkamp AT GE (Philip Wichterich) ,,,210822
71,,,WP Bütteler Balje,SEN SON,Enercon,E82,10290963,SEN SON WTS Serration (213558),ULFKOC,2021-04-06,WTS Wind-Tuning-Systems GmbH,Klaus Röhm,WEA 1 von 1,E826119,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10290963_2021 E82 SEN SON WP Bütteler Balje WTS (Klaus Röhm) ,54.150199,8.954711,213558
72,,,Olderup,SEN,Vestas,V117,10303356,SEN V117 Olderup II (217426),RICFRE,2021-07-08,Windpark II Olderup GmbH & Co. KG,Karina Ingwersen,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10303356_2021 V117 SEN Olderup Windpark II Olderup GmbH und Co KG (Karina Ingwersen) ,54.527175,9.093228,217426
73,,,WP Falkenwalde,SEN,GE,4.5,10304357,SEN Falkenwalde (217937),ANNJO,2021-07-06,ENERTRAG AG,Jonas Armbröster,WEA 1 von 2,55209915,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10304357_2021 45 SEN WP Falkenwalde Enertrag (Jonas Armbröster) ,53.2831,14.036204,217937
74,,,WP Falkenwalde,SEN,GE,4.5,10304357,SEN Falkenwalde (217937),ANNJO,2021-07-06,ENERTRAG AG,Jonas Armbröster,WEA 2 von 2,55209915,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10304357_2021 45 SEN WP Falkenwalde Enertrag (Jonas Armbröster) ,53.283747,14.030669,217937
75,,,WP Biegen,SEN,Vestas,V136,10304360,SEN V136 Biegen WPD (217564),JOPRZ,2021-07-16,wpd windmanager GmbH & Co. KG,Margot Petersen-Jaenicke,WEA 1 von 5,236762,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10304360_2021 V136 SEN WP Biegen WPD (Margot Petersen_Jaenicke) ,52.306794,14.382808,217564
76,,,WP Biegen,SEN,Vestas,V136,10304360,SEN V136 Biegen WPD (217564),JOPRZ,2021-07-16,wpd windmanager GmbH & Co. KG,Margot Petersen-Jaenicke,WEA 2 von 5,236760,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10304360_2021 V136 SEN WP Biegen WPD (Margot Petersen_Jaenicke) ,52.30393,14.386941,217564
77,,,WP Biegen,SEN,Vestas,V136,10304360,SEN V136 Biegen WPD (217564),JOPRZ,2021-07-16,wpd windmanager GmbH & Co. KG,Margot Petersen-Jaenicke,WEA 3 von 5,220015,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10304360_2021 V136 SEN WP Biegen WPD (Margot Petersen_Jaenicke) ,53.437057,13.792701,217564
78,,,WP Biegen,SEN,Vestas,V136,10304360,SEN V136 Biegen WPD (217564),JOPRZ,2021-07-16,wpd windmanager GmbH & Co. KG,Margot Petersen-Jaenicke,WEA 4 von 5,229457,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10304360_2021 V136 SEN WP Biegen WPD (Margot Petersen_Jaenicke) ,53.4373,13.7975,217564
79,,,WP Biegen,SEN,Vestas,V136,10304360,SEN V136 Biegen WPD (217564),JOPRZ,2021-07-16,wpd windmanager GmbH & Co. KG,Margot Petersen-Jaenicke,WEA 5 von 5,227618,,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10304360_2021 V136 SEN WP Biegen WPD (Margot Petersen_Jaenicke) ,53.440436111,12.161619444,217564
80,,,Reußenköge,SET,Vestas,V112,10307415,SET V210165 Reußenk (220242),ULMR,2021-08-24,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V210165,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10307415_2021 V112 SET Reußenköge Vestas (Helge Schnehle) ,54.619877,8.89624,220242
81,,,KWK,SEN,Enercon,E115,10307971,SEN E115 KW-Koog (210762),ULFKOC,2021-08-27,et marschland GmbH & CO. KG,Jan Heckens,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10307971_2021 E115 SEN KWK WES Ibs (Jan Heckens) ,,,210762
82,,,Miltzow,SEN,Vestas,V90,10308233,SEN Miltzow 205788 (220469),JOPRZ,2021-08-23,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V205788,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10308233_2021 V90 SEN Miltzow Vestas D (Helge Schnehle) ,54.195926,13.164507,220469
83,,,WP Neuenkirchen,SEN,Enercon,E115,10308234,SEN WP Neuenkirchen (201557),ULMR,2021-09-01,WES IBS Betriebsführungs- und Verwaltungs GmbH,Jan Heckens,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10308234_2021 E115 SEN WP Neuenkirchen WES Ibs (Jan Heckens) ,54.252919,8.956609,201557
84,,,Dagebüll,SEN,Vestas,V112,10309140,SEN V235642 Dagebüll (220914),RICFRE,2021-09-09,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V235642,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10309140_2021 V112 SEN Dagebüll Vestas D (Helge Schnehle) ,54.72787,8.751881,220914
85,,,WP Brest,SEN LZM,Vestas,EVENTUS 150,10312637,SEN WP Brest (221498),ULFKOC,2021-10-01,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10312637_2021 EVENTUS 150 SEN LZM WP Brest Vestas D (Helge Schnehle) ,53.437969,9.391169,221498
86,,,Altlandsberg,SEN,Vestas,V90,10320528,SEN V90 Altlandsberg (220589),RICFRE,2021-10-18,Green Wind Energy GmbH,Toghrul Maharramov,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Final Billing,file:///A:\___Projekte\10320528_2021 V90 SEN Altlandsberg Green Wind Energy  (Toghrul Maharramov) ,52.60096,13.785284,220589
87,,,Güterschuppen Marne,SIP SIM,,,10324353,SIP SIM Marne (221110),ULFKOC,2021-11-03,Luka Ritters,Luka Ritters ,WEA 1 von 1,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10324353_2021  SIP SIM Güterschuppen Marne Luka Ritters () ,,,221110
88,,,WP Achim Bollen,SEN,Vestas,V150,10324767,SEN 3x V150 WP Achim (222575),JOPRZ,2021-11-19,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 1 von 3,237457,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10324767_2021 V150 SEN WP Achim Bollen wpd (Margot Petersen_Jaenicke) ,53.0238,8.94868,222575
89,,,WP Achim Bollen,SEN,Vestas,V150,10324767,SEN 3x V150 WP Achim (222575),JOPRZ,2021-11-19,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 2 von 3,237458,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10324767_2021 V150 SEN WP Achim Bollen wpd (Margot Petersen_Jaenicke) ,53.0216,8.94175,222575
90,,,WP Achim Bollen,SEN,Vestas,V150,10324767,SEN 3x V150 WP Achim (222575),JOPRZ,2021-11-19,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 3 von 3,237459,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10324767_2021 V150 SEN WP Achim Bollen wpd (Margot Petersen_Jaenicke) ,53.0184,8.94721,222575
91,,,WP Holstentor,SEN,Nordex,N149,10326380,SEN WP Holstentor (221970),ULFKOC,2021-12-02,Pavana GmbH,Lars Levermann,WEA 1 von 3,89347,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10326380_2021 N149 SEN WP Holstentor Pavana GmbH (Lars Levermann) ,54.149017,9.442548,221970
92,,,WP Holstentor,SEN,Nordex,N149,10326380,SEN WP Holstentor (221970),ULFKOC,2021-12-02,Pavana GmbH,Lars Levermann,WEA 2 von 3,89346,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10326380_2021 N149 SEN WP Holstentor Pavana GmbH (Lars Levermann) ,54.146072,9.439194,221970
93,,,WP Holstentor,SEN,Nordex,N149,10326380,SEN WP Holstentor (221970),ULFKOC,2021-12-02,Pavana GmbH,Lars Levermann,WEA 3 von 3,89345,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10326380_2021 N149 SEN WP Holstentor Pavana GmbH (Lars Levermann) ,54.143737,9.433597,221970
94,,,WP Veer Dörper,SEN,Enercon,E70,10327765,SEN Veer Dörper E70 (223725),ULMR,2021-12-13,Bürgerwindpark Veer Dörper GmbH & Co. KG,Mike Wolf,WEA 1 von 2,784328,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10327765_2021 E70 SEN WP Veer Dörper WEB Andresen (Mike Wolf) ,54.655621,9.166116,223725
95,,,WP Veer Dörper,SEN,Enercon,E70,10327765,SEN Veer Dörper E70 (223725),ULMR,2021-12-13,Bürgerwindpark Veer Dörper GmbH & Co. KG,Mike Wolf,WEA 2 von 2,784329,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10327765_2021 E70 SEN WP Veer Dörper WEB Andresen (Mike Wolf) ,54.655103,9.169989,223725
96,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,WEA 1 von 3,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10327784_2021 E138 SEN WP Biegen Windmüllerei  (Falk Leibner) ,52.298333,14.377883,222843
97,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,WEA 2 von 3,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10327784_2021 E138 SEN WP Biegen Windmüllerei  (Falk Leibner) ,52.295628,14.380911,222843
98,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,WEA 3 von 3,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10327784_2021 E138 SEN WP Biegen Windmüllerei  (Falk Leibner) ,52.295297,14.386622,222843
99,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,,,,,,,,,5.0,15.0,E,,,,,,,,Approved,,52.301549,14.378556,222843
100,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,,,,,,,,,5.0,15.0,E,,,,,,,,Approved,,52.300178,14.384588,222843
101,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,,,,,,,,,5.0,15.0,E,,,,,,,,Approved,,52.298558,14.389494,222843
102,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,,,,,,,,,5.0,15.0,E,,,,,,,,Approved,,52.292333,14.39075,222843
103,,,WP Biegen,SEN,Enercon,E138,10327784,SEN WP Biegen (222843),JOPRZ,2021-12-08,Windmüllerei Biegen Infrastruktur GmbH & Co. KG,Falk Leibner,,,,,,,,,5.0,15.0,E,,,,,,,,Approved,,,,222843
104,,,WP Adensen,SEN,Vestas,V126,10327884,SEN WP Adensen (222220),JOPRZ,2021-12-13,Pavana GmbH,Tobias Leopold,WEA 1 von 2,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,,file:///A:\___Projekte\10327884_2021 V126 SEN WP Adensen Pavana GmbH (Tobias Leopold) ,52.189182,9.728464,222220
105,,,WP Adensen,SEN,Vestas,V126,10327884,SEN WP Adensen (222220),JOPRZ,2021-12-13,Pavana GmbH,Tobias Leopold,WEA 2 von 2,,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,,file:///A:\___Projekte\10327884_2021 V126 SEN WP Adensen Pavana GmbH (Tobias Leopold) ,52.186123,9.741725,222220
106,,,WP Bollingstedt,SEN,Vestas,V150,10328127,SEN WP Bollingstedt (224865),RICFRE,2021-12-14,Vestas Wind Systems A/S,NCN,WEA 1 von 3,V237986,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10328127_2021 V150 SEN WP Bollingstedt Vestas DK (NCN) ,54.61938,9.41527,224865
107,,,WP Bollingstedt,SEN,Vestas,V150,10328127,SEN WP Bollingstedt (224865),RICFRE,2021-12-14,Vestas Wind Systems A/S,NCN,WEA 2 von 3,V237987,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10328127_2021 V150 SEN WP Bollingstedt Vestas DK (NCN) ,54.612765,9.419857,224865
108,,,WP Bollingstedt,SEN,Vestas,V150,10328127,SEN WP Bollingstedt (224865),RICFRE,2021-12-14,Vestas Wind Systems A/S,NCN,WEA 3 von 3,V237988,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10328127_2021 V150 SEN WP Bollingstedt Vestas DK (NCN) ,54.613067,9.426803,224865
109,,,WP Hermannsort,SEN,Enercon,E138,10328264,SEN E138 Hermannsort (224392),RICFRE,2021-12-16,Hermannsort Wind UG (haftungsbeschränkt) & Co. KG,Jann Carstens,WEA 1 von 4,1380723,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10328264_2021 E138 SEN WP Hermannsort nttb (Jann Carstens) ,54.53684,9.44137,224392
110,,,WP Hermannsort,SEN,Enercon,E138,10328264,SEN E138 Hermannsort (224392),RICFRE,2021-12-16,Hermannsort Wind UG (haftungsbeschränkt) & Co. KG,Jann Carstens,WEA 2 von 4,1380725,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10328264_2021 E138 SEN WP Hermannsort nttb (Jann Carstens) ,54.535124,9.446034,224392
111,,,WP Hermannsort,SEN,Enercon,E138,10328264,SEN E138 Hermannsort (224392),RICFRE,2021-12-16,Hermannsort Wind UG (haftungsbeschränkt) & Co. KG,Jann Carstens,WEA 3 von 4,1380724,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10328264_2021 E138 SEN WP Hermannsort nttb (Jann Carstens) ,54.533097,9.44986,224392
112,,,WP Hermannsort,SEN,Enercon,E138,10328264,SEN E138 Hermannsort (224392),RICFRE,2021-12-16,Hermannsort Wind UG (haftungsbeschränkt) & Co. KG,Jann Carstens,WEA 4 von 4,1380722,,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10328264_2021 E138 SEN WP Hermannsort nttb (Jann Carstens) ,54.532792,9.442393,224392
